codigo;descricao;fabricacao;bitola;unidade 
AM-03-02;APOIO PARA MASTRO, FABRICADO EM AÇO  GALVANIZADO A FOGO;TERMOTÉCNICA OU SIMILAR;"1 1/2""";pç 
AM-03-03;APOIO PARA MASTRO, FABRICADO EM AÇO  GALVANIZADO A FOGO;TERMOTÉCNICA OU SIMILAR;"2""";pç 
RA-05-51;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;N-14;m 
RA-05-52;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;N-12;m 
RA-05-53;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;1,24mm;m 
RC-10-53;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;2 ESTR. x 2 ROLD;pç 
RC-10-54;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;2 ESTR. x 3 ROLD;pç 
RC-10-55;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;3 ESTR.x 3 ROLD;pç 
RC-10-56;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;3 ESTR.x 4 ROLD;pç 
RC-10-59;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;5 ESTR.x 5 ROLD;pç 
OA-3O-L;ARRUELA DE ESPORÃO EM AÇO LAMINADO GALVANIZADO A QUENTE.;FORJASUL OU SIMILAR;18mm;pç 
OA-1G-D;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/32""";pç 
OA-1G-E;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/16""";pç 
OA-1G-F;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"1/4""";pç 
OA-1G-G;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/16""";pç 
OA-1G-H;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/8""";pç 
OA-1G-J;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"1/2""";pç 
OA-1G-L;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/8""";pç 
OA-1I-D;"ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304, 3/8""";POLEODUTO OU SIMILAR;"5/32""";pç 
OA-1I-F;ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"1/4""";pç 
OA-1I-G;ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"5/16""";pç 
OA-1I-H;ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"3/8""";pç 
OA-1I-J;ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"1/2""";pç 
OA-1I-L;ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"5/8""";pç 
OA-6G-F;ARRUELA DE VEDAÇÃO EM BORRACHA;TERMOTÉCNICA OU SIMILAR;"1/4""";pç 
OA-0G-D;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/32""";pç 
OA-0G-E;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/16""";pç 
OA-0G-F;"ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO. 1/4""";POLEODUTO OU SIMILAR;"1/4""";pç 
OA-0G-G;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/16""";pç 
OA-0G-H;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/8""";pç 
OA-0G-J;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"1/2""";pç 
OA-0G-L;ARRUELA LISA FABRICADA EM  AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/8""";pç 
OA-0I-E;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304, ABA LARGA;POLEODUTO OU SIMILAR;3/16';pç 
OA-0I-F;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304, ABA LARGA;POLEODUTO OU SIMILAR;"1/4""";pç 
OA-0I-D;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"5/32""";pç 
AO-0I-E;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;4,2mm;pç 
OA-OI-F;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"1/4""";pç 
OA-0I-G;"ARRUELA LISA FABRICADA EM AÇO INOX AISI 304, 3/8""";POLEODUTO OU SIMILAR;"5/16""";pç 
OA-0I-H;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"3/8""";pç 
OA-0I-J;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"1/2""";pç 
OA-0I-L;ARRUELA LISA FABRICADA EM AÇO INOX AISI 304.;POLEODUTO OU SIMILAR;"5/8""";pç 
OA-2O-J;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR;12mm;pç 
OA-2O-L;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR;14mm;pç 
OA-2O-N;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR;18mm;pç 
OA-2G-D;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR ;18mm;pç 
OA-2G-E;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR ;18mm;pç 
OA-2G-F;ARRUELA QUADRADA, DIMENSÕES 34x34x3mm,  FABRICADA EM  LIGA DE ALUMÍNIO DE ALTA RESISTÊNCIA MECÂNICA.;FORJASUL OU SIMILAR ;18mm;pç 
EB-18-01;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1/2"" BSP";pç 
EB-18-02;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"3/4"" BSP";pç 
EB-18-03;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1"" BSP";pç 
EB-18-04;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1 1/4"" BSP";pç 
EB-18-05;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1 1/2"" BSP";pç 
EB-18-06;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"2"" BSP";pç 
EB-18-07;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"2 1/2"" BSP";pç 
EB-18-08;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"3"" BSP";pç 
EB-18-09;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZAÇÃO ELETROLÍTICA, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"4"" BSP";pç 
EB-48-01;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1/2"" BSP";pç 
EB-48-02;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"3/4"" BSP";pç 
EB-48-03;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1"" BSP";pç 
EB-48-04;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1 1/4"" BSP";pç 
EB-48-05;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"1 1/2"" BSP";pç 
EB-48-06;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"2"" BSP";pç 
EB-48-07;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"2 1/2"" BSP";pç 
EB-48-08;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"3"" BSP";pç 
EB-48-09;ARRUELA SEXTAVADA PARA ELETRODUTO, FABRICADA EM FERRO FUNDIDO GALVANIZADO A FOGO, COM ROSCA INTERNA.;NUTSTEEL OU SIMILAR;"4"" BSP";pç 
VB-CA-CA;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/8"" x 1/2""";pç 
VB-CA-CB;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/8"" x 5/8""";pç 
VB-CA-CC;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/8"" x 3/4""";pç 
VB-CA-CE;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/8"" x 1""";pç 
VB-CA-DC;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"5/32""x 3/4""";pç 
VB-CA-DE;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"5/32""x 1""";pç 
VB-CA-DH;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"5/32""x 1 1/2""";pç 
VB-CA-DJ;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"5/32""x 2""";pç 
VB-CA-EC;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/16"" x 3/4""";pç 
VB-CA-EE;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/16"" x 1""";pç 
VB-CA-EH;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/16"" x 1 1/2""";pç 
VB-CA-EJ;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/16"" x 2""";pç 
VB-CA-FE;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4"" x 1""";pç 
VB-CA-FH;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4""x 1 1/2""";pç 
VB-CA-FJ;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4""x 2""";pç 
VB-CA-FL;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4""x 2 1/2""";pç 
VB-CA-FN;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4""x 3""";pç 
VB-CA-FP;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/4""x 4""";pç 
VB-CA-HJ;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 2""";pç 
VB-CA-HL;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 2 1/2""";pç 
VB-CA-HN;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 3""";pç 
VB-CA-HP;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 4""";pç 
VB-CA-HR;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 5""";pç 
VB-CA-HS;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"3/8""x 6""";pç 
VB-CA-JJ;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 2""";pç 
VB-CA-JL;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 2 1/2""";pç 
VB-CA-JN;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 3""";pç 
VB-CA-JP;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 4""";pç 
VB-CA-JR;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 5""";pç 
VB-CA-JS;BARRA CHATA EM COBRE ELETROLÍTICO TÊMPERA DURA EM BARRAS DE 6m.;ELUMA OU SIMILAR;"1/2"" x 6""";pç 
VB-CB-EA;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;12 x 2 mm;pç 
VB-CB-FA;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;15 x 2 mm;pç 
VB-CB-FB;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;15 x 3 mm;pç 
VB-CB-GB;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;20 x 3 mm;pç 
VB-CB-GC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;20 x 5 mm;pç 
VB-CB-HB;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;25 x 3 mm;pç 
VB-CB-HC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;25 x 5 mm;pç 
VB-CB-IB;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;30 x 3 mm;pç 
VB-CB-IC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;30 x 5 mm;pç 
VB-CB-JB;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;40 x 3 mm;pç 
VB-CB-JC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;40 x 5 mm;pç 
VB-CB-KC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;50 x 5 mm;pç 
VB-CB-LC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;60 x 5 mm;pç 
VB-CB-LD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;60 x 10 mm;pç 
VB-CB-MC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;80 x 5 mm;pç 
VB-CB-MD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;80 x 10 mm;pç 
VB-CB-NC;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;100 x 5 mm;pç 
VB-CB-ND;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;100 x 10 mm;pç 
VB-CB-OD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;120 x 10 mm;pç 
VB-CB-PD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;160 x 10 mm;pç 
VB-CB-QD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m;ELUMA OU SIMILAR;200 x 10 mm;pç 
VB-CB-KD;BARRA DE COBRE ELETROLÍTICO TÊMPERA DURA COM CANTOS ARREDONDADOS EM BARRA DE 3m.;ELUMA OU SIMILAR;50 x 10 mm;pç 
VB-CB-RA;BARRA DE COBRE ELETROLÍTICO, TEMPERA DURA, CANTOS ARREDONDADOS;ELUMA OU SIMILAR;"3/8""x2""x300mm";pç 
AM-04-51;BASE PARA MASTRO, EM ALUMÍNIO, ACABAMENTO COM PINTURA ANTI-CORROSÃO.;TERMOTÉCNICA OU SIMILAR;"1.1/2""";pç 
AM-04-52;BASE PARA MASTRO, EM ALUMÍNIO, ACABAMENTO COM PINTURA ANTI-CORROSÃO.;TERMOTÉCNICA OU SIMILAR;"2""";pç 
IP-03-82;"BLOCO AUTÔNOMO DE ILUMINAÇÃO DE EMERGENCIA, ALIMENTAÇÃO EM 110/220V-60Hz, FORNECIDO COM BATERIA CHUMBO-ÁCIDA SELADA, TIPO ""FREE"", SEM MANUTENÇÃO, MONTADA EM CAIXA PLÁSTICA DE ALTA RESISTÊNCIA, COM DOIS (2) PROJETORES HALÓGENOS. AUTONOMIA 4 HORAS.";UNITRON OU SIMILAR;2 x 55 W - 12 Vcc;cj 
IP-05-82;BLOCO AUTÔNOMO DE ILUMINAÇÃO DE SEGURANÇA PARA BALIZAMENTO, PARA FONTE DE ALIMENTAÇÃO 220V-60Hz, COM DISPOSITIVO AUTOMÁTICO PARA ACENDIMENTO, BATERIA DE NIQUEL-CADMIO, LIMITAÇÃO DE DESCARGA E FUSÍVEL DE PROTEÇÃO, FABRICADO COM MATERIAL  AUTO-EXTINGUIVEL, SENDO FORNECIDO COM LÂMPADA  ADEQUADA E ETIQUETA ADESIVA.;PIAL LEGR. OU SIMILAR;SAIDA DE EMERGÊNCIA;cj 
IP-05-85;BLOCO AUTÔNOMO DE ILUMINAÇÃO DE SEGURANÇA PARA BALIZAMENTO, PARA FONTE DE ALIMENTAÇÃO 220V-60Hz, COM DISPOSITIVO AUTOMÁTICO PARA ACENDIMENTO, BATERIA DE NIQUEL-CADMIO, LIMITAÇÃO DE DESCARGA E FUSÍVEL DE PROTEÇÃO, FABRICADO COM MATERIAL  AUTO-EXTINGUIVEL, SENDO FORNECIDO COM LÂMPADA  ADEQUADA E ETIQUETA ADESIVA.;PIAL LEGR. OU SIMILAR;SAÍDA+SETA DIREITA;cj 
IP-05-86;BLOCO AUTÔNOMO DE ILUMINAÇÃO DE SEGURANÇA PARA BALIZAMENTO, PARA FONTE DE ALIMENTAÇÃO 220V-60Hz, COM DISPOSITIVO AUTOMÁTICO PARA ACENDIMENTO, BATERIA DE NIQUEL-CADMIO, LIMITAÇÃO DE DESCARGA E FUSÍVEL DE PROTEÇÃO, FABRICADO COM MATERIAL  AUTO-EXTINGUIVEL, SENDO FORNECIDO COM LÂMPADA  ADEQUADA E ETIQUETA ADESIVA.;PIAL LEGR. OU SIMILAR;SAÍDA+SETA ESQUERDA;cj 
GE-01-01;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1/2""";pç 
GE-01-02;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"3/4""";pç 
GE-01-03;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1""";pç 
GE-01-04;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1 1/4""";pç 
GE-01-05;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1 1/2""";pç 
GE-01-06;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"2""";pç 
GE-01-07;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"2 1/2""";pç 
GE-01-08;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"3""";pç 
GE-01-09;ABRAÇADEIRA DE UNIÃO HORIZONTAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"4""";pç 
GA-05-01;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1/2""";pç 
GA-05-02;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"3/4""";pç 
GA-05-03;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1""";pç 
GA-05-04;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1 1/4""";pç 
GA-05-05;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"1 1/2""";pç 
GA-05-06;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"2""";pç 
GA-05-07;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"2 1/2""";pç 
GA-05-08;ABRAÇADEIRA DE UNIÃO VERTICAL PARA ELETRODUTOS, FABRICADA EM AÇO GALVANIZAÇÃO ELETROLÍTICA.;POLEODUTO OU SIMILAR ;"3""";pç 
